domain,classification_category,rationale
usafireco.com,Other,"The website content indicates that the company is 'Launching Soon' and focuses on subscription sign-ups rather than detailing maintenance, service, or installation activities. The primary purpose appears to be marketing and collecting leads, not describing business operations.",,,,,,,,,,LLM,
djasafety.com,Other,"The website content does not provide sufficient information to classify the company's business mix into the specified categories. The text mentions various services but does not explicitly state a focus on maintenance, installation, or a 50/50 split.",,,,,,,,,,LLM,
thebluebook.com,Other,"The website content does not provide sufficient information to classify the company's business mix into the specified categories. The text mentions various services but does not explicitly state a focus on maintenance, installation, or a 50/50 split.",,,,,,,,,,LLM,
ctsfire.ca,Maintenance & Service Only,"The website emphasizes regular inspection services like annual, semi-annual, and monthly tests for fire alarm systems, along with maintenance logs and equipment checks. There is no mention of installation services, focusing primarily on maintenance and service.",,,,,,,,,,LLM,
bighorn-fire.com,Maintenance & Service Only,"The website emphasizes services like inspections, testing, maintenance, and repairs for fire protection systems. While installation is mentioned, the primary focus appears to be on ongoing maintenance and service, as highlighted by the detailed listings of maintenance-related services and certifications.",,,,,,,,,,LLM,
bluejackfire.com,Maintenance & Service Only,"The website emphasizes testing, inspection, and repair services as core offerings, with mentions of 'seamless and non-disruptive services tailored to clients’ needs' and 'market-leading testing, inspection, and repair services.' While installation is mentioned in the context of 'design, install, test, and maintain,' the overall focus appears to be on maintenance and service rather than installation as the primary business driver.",,,,,,,,,,LLM,
firesprinklersystemslongbeach.com,Install Focus,"The company's website emphasizes fire sprinkler system installation as a primary service, detailing the installation process and its importance. While maintenance and certification are mentioned, the focus is on installation as the core offering.",,,,,,,,,,LLM,
sfty.ca,Maintenance & Service Only,"The company focuses on providing health and safety programs, audits, inspections, and training services. Their services include safety program development, on-site support, and compliance management, indicating a primary emphasis on maintenance and service rather than installation.",,,,,,,,,,LLM,
lafiresprinklers.com,Install Focus,"The company's website emphasizes fire sprinkler system installation as a primary service, detailing the installation process and its importance. While maintenance and repair are mentioned, the focus appears to be on installation as the core business. The majority of the content is dedicated to installation services, indicating a strong emphasis on this area.",,,,,,,,,,LLM,
fireprotectionwhittier.com,Install Focus,"The company's website emphasizes fire sprinkler system installation as a core service, with dedicated sections highlighting their expertise in designing and installing commercial and residential systems. While they offer maintenance and repair services, the primary focus appears to be on installation, as indicated by the detailed descriptions and emphasis on new system setups.",,,,,,,,,,LLM,
fireprotectionlosangelesca.net,Install Focus,"The company's website emphasizes fire sprinkler system installation as a core service, with multiple pages dedicated to installation processes, commercial systems, and residential solutions. While maintenance and repair are mentioned, the primary focus appears to be on installing fire protection systems.",,,,,,,,,,LLM,
fireprotectionriversidecounty.com,Maintenance & Service Only,"The website emphasizes maintenance, repair, testing, and certification services for fire protection systems. While installation is mentioned, the primary focus appears to be on ongoing maintenance and system reliability.",,,,,,,,,,LLM,
mwprotection.com,Maintenance & Service Only,"The website emphasizes professional service and quality installations, but the primary focus seems to be on maintenance and service aspects as indicated by the repeated mentions of customer service, security solutions, and the variety of services offered without explicit emphasis on installation as a primary focus.",,,,,,,,,,LLM,
bearfireprotection.com,Maintenance & Service Only,"The website emphasizes maintenance, inspections, and emergency services for fire protection systems. Services like fire sprinkler maintenance, fire extinguisher servicing, and 24/7 emergency response are highlighted, indicating a focus on ongoing maintenance rather than new installations.",,,,,,,,,,LLM,
allfloridafire.com,Maintenance & Service Only,"The company's primary focus is on maintenance, inspection, and service of fire protection systems, as evidenced by their detailed descriptions of annual and monthly inspections, repairs, and compliance with NFPA standards. There is no mention of installation services, indicating a specialization in ongoing maintenance rather than new installations.",,,,,,,,,,LLM,
fireprotectionstockton.com,Install Focus,"The website emphasizes fire sprinkler system installation as a key service, highlighting professional installation and the importance of correct setup. While maintenance and repair are mentioned, the primary focus seems to be on installation services.",,,,,,,,,,LLM,
cainandsons.com,Maintenance & Service Only,"The website emphasizes maintenance, service, and inspection services for fire safety equipment. While installation is mentioned, the primary focus seems to be on ongoing maintenance and compliance services.",,,,,,,,,,LLM,
homerfireprotection.com,Maintenance & Service Only,"The company's primary focus is on the inspection, maintenance, and servicing of fire protection equipment such as fire extinguishers, kitchen suppression systems, and emergency lighting. While they mention installation services, the majority of their content emphasizes ongoing maintenance and compliance with fire codes.",,,,,,,,,,LLM,
blannequipment.com,Other,"The website appears to be a default Plesk server page indicating no active website is hosted at the domain. The content does not provide information about the company's business mix, services, or installations.",,,,,,,,,,LLM,
vetfirepro.com,Install Focus,"The company emphasizes 'One Call Solves It All' and offers end-to-end fire protection services including new installations, retrofits, and comprehensive system solutions. While maintenance and inspections are mentioned, the primary focus is on installation and full system implementation.",,,,,,,,,,LLM,
americanfiresafety.com,Other,"The website content does not provide sufficient information to classify the company's business mix into the specified categories. The text mentions various services but does not explicitly state a focus on maintenance, installation, or a 50/50 split.",,,,,,,,,,LLM,
falconfire.net,Maintenance & Service Only,"The website emphasizes 24/7 emergency service, inspections, and testing, indicating a strong focus on maintenance and service rather than installation. While installation is mentioned, it is not highlighted as the primary business focus.",,,,,,,,,,LLM,
virginiafps.com,Maintenance & Service Only,"The website lists multiple maintenance and service-related offerings such as kitchen hood maintenance, fire extinguisher maintenance, and emergency/exit light maintenance. There is no explicit mention of installation services beyond maintenance, suggesting a focus on maintenance and service.",,,,,,,,,,LLM,
exitproservices.com,Maintenance & Service Only,"The company's website emphasizes maintenance and service offerings such as fire extinguisher inspections, repairs, and testing, with no mention of installation services. Their services include ongoing maintenance, inspections, and repairs for various fire safety equipment, indicating a focus on maintenance rather than installation.",,,,,,,,,,LLM,
freedomfirene.com,Maintenance & Service Only,"The company emphasizes maintenance, inspections, and testing services across fire pumps, sprinklers, and backflow systems. While they mention installations, the primary focus appears to be on ongoing service and maintenance, as highlighted by their 50+ years of combined service experience and customer service-oriented approach.",,,,,,,,,,LLM,
actionfp.com,Maintenance & Service Only,"The website emphasizes maintenance, inspections, and repair services as core offerings. While installation is mentioned, the repeated focus on ongoing maintenance and compliance suggests a primary business mix centered around service and maintenance rather than installation.",,,,,,,,,,LLM,
